"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"471",8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,6
"2920",6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5
"3230",6.2,0.2,0.26,1.1,0.047,42,119,0.99158,3.48,0.6,11,7
"1262",7.3,0.19,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,6
"3843",7.5,0.26,0.31,1.6,0.032,36,109,0.99044,2.97,0.43,11.9,6
"1826",7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,5
"3636",5.8,0.58,0,1.5,0.02,33,96,0.98918,3.29,0.38,12.4,6
"226",7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5
"2983",7,0.2,0.31,8,0.05,29,213,0.99596,3.28,0.57,10.4,6
"697",6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6
"1337",7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8
"4549",6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5
"2994",6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
"4610",6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11,4
"1061",8,0.26,0.36,2,0.054,30,121,0.992,3.09,0.72,11.6,7
"4837",6.7,0.5,0.36,11.5,0.096,18,92,0.99642,3.11,0.49,9.6,5
"3316",5.8,0.18,0.37,1.2,0.036,19,74,0.98853,3.09,0.49,12.7,7
"1015",6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5
"759",7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,7
"3978",6.9,0.27,0.25,7.5,0.03,18,117,0.99116,3.09,0.38,13,6
"4693",6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8,5
"4097",8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5,5
"2456",7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
"899",6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6
"1221",6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,6
"1851",7.1,0.25,0.25,1.6,0.046,50,181,0.9925,3.2,0.42,11,7
"477",7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,7
"4236",6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
"4028",6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,5
"1650",6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,4
"3271",6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5
"4335",7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
"1661",6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,6
"2099",7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
"4588",8,0.33,0.35,10,0.035,22,108,0.99457,3.12,0.36,11.6,6
"4746",6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,3
"4850",6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,5
"3268",5.8,0.23,0.2,2,0.043,39,154,0.99226,3.21,0.39,10.2,6
"4215",7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
"3451",6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7
"2532",6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
"4015",6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6
"4659",7.1,0.43,0.25,2.8,0.036,43,132,0.98975,3.21,0.47,13.4,6
"4872",5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,6
"1179",9.8,0.44,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2,5
"3213",6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,5
"4841",6.8,0.34,0.36,8.9,0.029,44,128,0.99318,3.28,0.35,11.95,7
"2704",6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
"210",6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6
"4891",6.1,0.34,0.29,2.2,0.036,25,100,0.98938,3.06,0.44,11.8,6
"3544",6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6
"974",6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
"4083",5.9,0.23,0.28,8.6,0.046,37,142,0.99432,3.23,0.53,10.6,6
"3948",6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7,7
"2244",6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5
"3433",7.8,0.29,0.29,3.15,0.044,41,117,0.99153,3.24,0.35,11.5,5
"1500",6.7,0.51,0.24,2.1,0.043,14,155,0.9904,3.22,0.6,13,6
"2620",6.6,0.35,0.35,6,0.063,31,150,0.99537,3.1,0.47,9.4,6
"801",7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
"4593",6.7,0.45,0.3,5.3,0.036,27,165,0.99122,3.12,0.46,12.2,6
"2273",6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,6
"4454",6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,6
"2161",6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11,6
"4568",5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5
"2893",6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5
"3570",8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,6
"4606",6.5,0.29,0.32,3,0.036,38,93,0.9906,3.16,0.59,12,6
"2949",6.8,0.26,0.48,6.2,0.049,55,182,0.99582,3.21,0.45,9.4,6
"2234",6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5
"873",6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6
"3039",6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,6
"3354",6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6
"2154",7.5,0.18,0.39,1.9,0.054,23,91,0.9941,3.27,0.45,10.3,6
"4192",7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5
"1615",8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5
"345",5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6
"3081",8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6
"3473",6.7,0.16,0.36,2,0.045,24,131,0.99284,3.3,0.59,10.5,6
"884",7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6
"1191",7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
"1886",7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6
"4119",6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,8
"3548",7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2,6
"53",6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7
"1304",8.2,0.2,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3,6
"3888",7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6
"3003",6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7
"2906",7.6,0.31,0.26,1.7,0.073,40,157,0.9938,3.1,0.46,9.8,5
"1499",7.7,0.27,0.49,1.8,0.041,23,86,0.9914,3.16,0.42,12.5,6
"1970",6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,7
"2551",6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
"2003",7.6,0.17,0.35,1.6,0.047,43,154,0.9934,3.36,0.69,11.1,6
"2402",9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4
"102",7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5
"2541",9,0.29,0.34,12.1,0.03,34,177,0.99706,3.13,0.47,10.6,5
"490",7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,6
"757",5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5
"1017",6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,5
"2376",7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6
"1394",5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,6
"1479",7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,6
"3534",6.6,0.22,0.3,14.7,0.045,50,136,0.99704,3.14,0.37,10.6,6
"3448",6,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,6
"205",5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4
"4844",5.6,0.34,0.25,2.5,0.046,47,182,0.99093,3.21,0.4,11.3,5
"201",6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5
"1040",7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5
"2501",6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
"1666",6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,8
"3091",6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6
"4058",6.6,0.17,0.36,1.9,0.036,38,110,0.99056,3.05,0.54,11.4,6
"1643",7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
"494",6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,6
"2796",6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8
"692",6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6
"637",6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,7
"4246",7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2,5
"2452",6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
"4145",6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6
"4643",5.7,0.24,0.3,1.3,0.03,25,98,0.98968,3.37,0.43,12.4,7
"2523",7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8
"4319",6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7
"4204",6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,5
"2012",7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
"3688",6,0.16,0.27,12,0.03,39,98,0.99402,3.15,0.34,10.8,5
"3020",7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6
"987",7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6
"2872",6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6
"57",7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6
"1722",8.2,0.15,0.48,2.7,0.052,24,190,0.995,3.5,0.45,10.9,7
"439",7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
"2560",5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
"1008",5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5
"2001",6.8,0.31,0.09,1.4,0.04,56,145,0.9922,3.19,0.46,10,5
"1364",6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,4
"4393",6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,5
"3033",6.7,0.14,0.46,1.6,0.036,15,92,0.99264,3.37,0.49,10.9,5
"2921",7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4
"612",7.4,0.24,0.4,4.3,0.032,9,95,0.992,3.09,0.39,11.1,6
"2635",8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5
"1001",8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7
"2437",6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
"55",6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6
"3539",6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,7
"30",7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7
"1815",8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7
"3228",6.8,0.27,0.37,8.2,0.055,52,192,0.99586,3.11,0.52,9.5,6
"2383",6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
"468",6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
"1444",7,0.18,0.49,5.3,0.04,34,125,0.9914,3.24,0.4,12.2,6
"4548",5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,6
"289",7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
"3152",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
"1368",7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5
"811",6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5
"3212",8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6
"276",6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,6
"1185",7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,7
"52",6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7
"3556",5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,6
"2166",7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,5
"805",7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6
"3038",6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6
"980",6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5
"3121",6.2,0.25,0.42,8,0.049,53,206,0.99586,3.16,0.47,9.1,6
"2912",6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5
"3482",5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,5
"2193",7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,6
"2694",6.7,0.23,0.25,1.6,0.036,28,143,0.99256,3.3,0.54,10.3,6
"4302",7.2,0.34,0.23,8.9,0.105,22,155,0.99692,3.01,0.58,9.5,5
"4617",7.3,0.28,0.37,1.2,0.039,26,99,0.99198,3.01,0.62,10.8,5
"1193",7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6
"3159",7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7
"2270",8.5,0.19,0.56,17.3,0.055,47,169,1.00047,3.07,0.67,9.3,6
"3823",7,0.33,0.28,5.7,0.033,39,204,0.99176,3.17,0.64,12.5,6
"1075",6.2,0.55,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,6
"714",6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,5
"1883",7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
"403",6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5
"3522",5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,7
"1533",7.5,0.23,0.49,7.7,0.049,61,209,0.9941,3.14,0.3,11.1,7
"2015",9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5
"1160",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
"4575",6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,7
"2420",6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5
"2132",7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
"4609",6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,7
"1004",6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4,7
"2513",5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6
"4165",7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5
"1513",7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11,7
"4626",8.3,0.49,0.23,6.65,0.034,6,158,0.99344,3.05,0.48,11.2,5
"4435",7.2,0.24,0.24,1.7,0.045,18,161,0.99196,3.25,0.53,11.2,6
"4692",6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7
"254",5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3
"3139",6.9,0.22,0.43,6.4,0.042,34,115,0.99293,3.05,0.51,10.8,6
"59",6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
"1760",6.6,0.62,0.2,8.7,0.046,81,224,0.99605,3.17,0.44,9.3,5
"321",6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,7
"4504",5.8,0.61,0.01,8.4,0.041,31,104,0.9909,3.26,0.72,14.05,7
"3841",6.7,0.37,0.25,2.5,0.028,24,84,0.9909,3.14,0.36,11.7,6
"7",6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6
"4893",6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,5
"3253",7.1,0.26,0.37,5.5,0.025,31,105,0.99082,3.06,0.33,12.6,8
"4284",6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6
"537",7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5
"284",6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5
"627",7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,4
"1302",6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5
"983",5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,6
"1329",5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6
"335",5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5
"1375",6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,7
"1863",7.3,0.13,0.31,2.3,0.054,22,104,0.9924,3.24,0.92,11.5,7
"4343",5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3,6
"4222",6.3,0.28,0.34,8.1,0.038,44,129,0.99248,3.26,0.29,12.1,6
"3604",7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,7
"1521",8.3,0.2,0.49,1.7,0.038,38,167,0.9939,3.05,0.37,10.1,6
"2586",6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
"4267",6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7
"3650",7,0.29,0.37,1.6,0.035,34,126,0.99058,3.26,0.47,12.3,6
"819",6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5
"17",6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6
"2925",6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
"4242",6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,6
"1012",7.7,0.16,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2,7
"4202",6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,6
"2174",7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5
"2738",7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,7
"3750",6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,6
"1231",7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,6
"4623",6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,7
"2569",6.8,0.28,0.36,7,0.043,60,207,0.99556,3.16,0.49,9.6,6
"2216",8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
"928",6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7
"1765",6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5
"3113",7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5
"2338",6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,4
"571",7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
"1660",6.6,0.325,0.49,7.7,0.049,53,217,0.996,3.16,0.4,9.3,5
"4720",6.7,0.15,0.32,7.9,0.034,17,81,0.99512,3.29,0.31,10,6
"3101",6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,7
"4309",6.2,0.26,0.29,2,0.036,16,87,0.99081,3.33,0.61,11.8,6
"3117",6.7,0.21,0.37,2.5,0.034,35,89,0.9913,3.25,0.5,11,7
"2900",6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,5
"4080",5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,6
"691",6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4
"3987",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
"1914",8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,6
"4086",7.4,0.26,0.29,3.7,0.048,14,73,0.9915,3.06,0.45,11.4,6
"3086",8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,6
"4642",6.6,0.26,0.36,1.2,0.035,43,126,0.99094,3.01,0.63,11.4,6
"4570",6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,6
"1507",8.1,0.2,0.49,8.1,0.051,51,205,0.9954,3.1,0.52,11,6
"3090",6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,7
"3416",6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,7
"4100",6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6
"4554",5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6
"3995",6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
"2079",5.9,0.17,0.3,1.4,0.042,25,119,0.9931,3.68,0.72,10.5,6
"1150",6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,5
"197",6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5
"4135",6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,6
"1629",8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
"2165",8.4,0.22,0.28,18.8,0.028,55,130,0.998,2.96,0.35,11.6,5
"642",6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9,4
"559",5.9,0.21,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5,5
"208",10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4
"2412",8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6
"1240",10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5
"1964",7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6
"324",6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6
"619",7.7,0.24,0.27,1.8,0.051,52,190,0.9928,3.23,0.5,10.8,6
"665",7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6
"4502",6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4,6
"2359",7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5
"3431",7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6
"4661",6.6,0.33,0.41,2,0.027,14,79,0.99063,3.27,0.63,12.4,6
"1270",8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6
"1431",7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4
"3531",7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5
"4414",5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,7
"3199",6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7
"3252",6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,6
"1175",7.2,0.26,0.26,12.7,0.036,49,214,0.9986,3.41,0.5,10,6
"1366",6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7
"2292",8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6
"2678",6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,6
"939",6.2,0.35,0.29,7.3,0.044,56,244,0.9956,3.36,0.55,10,6
"3332",6.8,0.23,0.32,8.6,0.046,47,159,0.99452,3.08,0.52,10.5,6
"2642",6.1,0.15,0.35,15.8,0.042,55,158,0.99642,3.24,0.37,10.6,5
"4304",6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,6
"4509",5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4
"233",8.2,0.27,0.39,7.8,0.039,49,208,0.9976,3.31,0.51,9.5,6
"2897",7,0.31,0.39,7.5,0.055,42,218,0.99652,3.37,0.54,10.3,5
"3751",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
"2008",5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,6
"2447",6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10,5
"3802",8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,6
"163",6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5
"2623",6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
"3513",6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6
